,Prediction,Label,Score,Cosine Similarity
0,i m using my banking app and it s not working the way it s supposed to ,i m using my banking app and it s not working the way it s supposed to,0.0,1.0
1,hi i m just calling up because i have noticed that i want to change my address i need it to be changed on some of my forms so i m just looking to be able to change my address ,hi i m just calling up because i have noticed that i want to change my address i needed to be changed on some of my phone s so i m just looking to be able to change my address,0.1,0.9757039546966553
2,i m trying to make a high price payment online but i m not receiving the sms code can you help ,i m trying to make a high priced payment online but i m not receiving the sms code can you help,0.047619047619047616,0.9965963363647461
3,i leave my car abroad can you pay for things while i m in america hi yes i m going on vacation for a few weeks i wanted to ask if you have to do anything ,i leave my car abroad can you buy things in a basic hi yes i m going out for a few weeks i want to ask you to do anything,0.4,0.9386898875236511
4,i would like to talk about a business loan ,i would like to talk about a business loan,0.0,1.0
5,hey there i ve just got a large payment that i ve got to make i m a bit confused because my online application keeps denying me it it says i m meant to get an sms but i m not really too sure what to do with them i was just wondering if you could lend me a hand it s fairly urgent that i get this large transaction sorted out thanks ,hey there i m just got a large payment that i ve got to make i m a bit confused because my online application keeps denying me it into the minion sms but i m not really too sure what to do with them i was just wondering if you could lend me a hand fairly urgent that i get this you know large transaction sort it out thanks,0.21739130434782608,0.979554295539856
6,hi how would i go about changing my address ,hi how would i go about changing my address,0.0,0.9999997615814209
7,how much money can i withdraw ,how much money can i withdraw,0.0,0.9999998807907104
8,hi i was wondering if you could help me transfer some money into my account ,i was wondering if you could help me transfer some money into my account,0.07142857142857142,0.9716840386390686
9,show me my direct debits please ,show me my direct debits please,0.0,1.0000001192092896
10,large payment,large payment,0.0,1.0
11,i would like to know what my current balance is ,i like to know what my current balance is,0.1111111111111111,0.8876855373382568
12,there is a bill i would like to pay my credit card bill is due i need to make a payment ,there is a bill i would like to pay,1.3333333333333333,0.7863250970840454
13,can you help me with my debit card it s declining purchases but i know i have a balance in my account ,can you help me with my debit card is declining purchases but i know i have a balance in my account,0.09523809523809523,0.9702057838439941
14,hi i m calling about my last transaction there s a payment that i don t recognise and i wanted you to check it out ,hi i m calling about my last transaction was a payment that i don t recognise and i wanted you to check it out,0.08333333333333333,0.972183108329773
15,there has been an issue with my card and i would like to freeze my card please ,there has been an issue with my card and i would like to breathe,0.2857142857142857,0.9554182291030884
16,i tried to make a payment with my card and the card won t go through ,i tried to make a payment with my card and the card won t go through,0.0,1.0
17,i m trying to put through a large transaction and it says i m going to get a text message with a confirmation code but it hasn t come through ,i m trying to put through a large transaction and it says i m going to get a text message with the confirmation code but it hasn t come through,0.03333333333333333,0.9981197714805603
18,i m trying to make a large payment online and it says i m getting a text message ,trying to lodge payment online and it says i m getting a text message,0.35714285714285715,0.9453638195991516
19,hi i m looking to make a large purchase online and the screen that s coming up saying that i will get a confirmation code via sms to my phone i just want to make sure that this is actually you guys ,hi i m looking to make a word to purchase online and the screen that s coming up saying that i will get a confirmation code via sms my phone and i just want to make sure that this was actually you guys,0.11627906976744186,0.9767793416976929
20,i would like to make a payment ,i would like to make a payment,0.0,1.0000001192092896
21,hi there i need to change my dress ,hi there i need to change my address,0.125,0.8833400011062622
22,please show me my last five transactions ,please show me my last five transactions,0.0,1.0
23,hello i m just enquiring about my current bank balance could you tell me what my current account balance is showing ,hello i m just inquiring about my current bank balance could you tell me what my current account balance is showing,0.047619047619047616,0.9945323467254639
24,hi i m needing to look to extend the time period for my business loan thank you ,hi i m needing to look to extend the time period for my business loan thank you,0.0,1.0
