,Prediction,Label,Score,Cosine Similarity
0,ik wil graag weten wat mijn rekeningsauto is ,ik wil graag weten wat mijn rekeningsaldo is,0.125,0.9885984659194946
1,je souhaiterais déposer de l argent sur mon compte bancaire ,je souhaiterais déposer de l argent sur mon compte bancaire,0.0,1.000000238418579
2,goedemiddag ik had even een vraagje ik zou graag mijn creditcard rekening betalen en ik wou even vragen of u mij daarmee zou kunnen helpen ,goedemiddag ik had even een vraagje ik wil graag mijn creditcard rekening betalen en ik wou ik vragen of u mij daarmee zou kunnen helpen,0.08,0.9912226796150208
3,dobrý den chci vložit peníze na můj účet a zajímá mě jak to můžu udělat a kde ty peníze mohu vložit ,dobrý den chci vložit peníze na můj účet a zajímá mě jak to můžu udělat a kde ty peníze mohu vložit,0.0,0.9999998807907104
4,eu queria consultar o saldo do telemóvel ,eu queria consultar o saldo do telemóvel,0.0,1.0000001192092896
5,hi und zwar ich fahre den nächsten urlaub und wollte wissen ob ich meine karte problemlos verwenden kann oder ob es irgendwas gibt was ich beachten muss ,hi und zwar ich fahre da nicht im urlaub und wollte wissen ob ich meine karte problemlos verwenden kann oder ob ich es irgendwas gibt was ich beachten muss,0.13793103448275862,0.9975763559341431
6,공동계좌 설정,공동 계좌 설정,0.6666666666666666,0.9496572017669678
7,我正在尝试在线支付一笔大的款项 但是我收到了一个短信代码 我不知道这些有付款代码的消息应该怎么做 我是应该不管它呢 还是说继续进行我的付款 ,我正在尝试在线支付一笔大的开销但是我收到一个短信代码我不知道这些有付款大码的消息应该怎么做我是应该不管他呢还是说继续进行我的,5.0,0.9980645179748535
8,quiero realizar un pago de mi factura ,quiero realizar un pago de factura,0.16666666666666666,0.9886915683746338
9,bom dia eu estava a mudar o meu endereço ,gostava de mudar o meu endereço,0.8333333333333334,0.936267077922821
10,buongiorno chiamo perché vorrei sapere come si crea un conto congiunto perché volevo creare un conto con la mia ragazza unendo i nostri conti correnti però ho visto che praticamente si fa con l app ma non riesco a trovare il punto dove poter inserire il nome del mio partner come si fa ,buongiorno chiamo perché vorrei sapere come si crea un conto congiunto perché volevo creare un conto con la mia ragazza sul sul mio un e unendo i nostri conti correnti però ho visto che praticamente si si fa con l applicazione con l app ma non riesco a trovare il il punto dove poter inserire il nome del mio partner come si fa,0.15873015873015872,0.9943532943725586
11,자동이체를 설정하고 싶은데 이 자동이체 서비스에 대해서 좀 알려주세요,자동 이체를 설정하고 싶은데이 자동 이체 서비스에 대해서 좀 알려 주세요,0.6363636363636364,0.9952958226203918
12,ah sim eu tenho cartão deste banco e eu vou à américa de férias e gostaria de saber se era preciso fazer alguma coisa para alguma tipo de burocracia para ativar ou assim ,assim eu tenho eu tenho o cartão deste ano e eu vou à américa de férias e gostaria de saber se era preciso fazer alguma coisa para pronto alguma tipografia para ativar ou sim,0.29411764705882354,0.9894661903381348
13,ma carte ne fonctionne pas ,ma carte ne fonctionne pas,0.0,1.0000001192092896
14,boa tarde gostaria de ver as minhas últimas transações reparei que existe um pagamento no dia 15 de 1 de 2021 que não reconheço poderíamos explicar quando esse pagamento foi feito ou para quem ,boa tarde gostaria de ver as minhas últimas transações reparei que existe um pagamento no dia 15 do 1 de 2021 que não reconhece podemos explicar a quando este pagamento foi feito ou para quem,0.14285714285714285,0.99465012550354
15,я уезжаю за границу могу ли я платить своей картой за границей ,я уезжаю за границу могу ли я платить своей картой за границей,0.0,1.0
16,buenos días quería hablar con mi banco virtual estamos aquí quiero crear una cuenta conjunta junto con un familiar y quería saber cómo se hace por favor ¿cómo se puede hacer para crear una cuenta conjunta con un socio gracias ,buenos días quería hablar con mi banco virtual estamos quiero crear una cuenta conjunta junto con un familiar y quería saber cómo se hace por favor cómo se puede hacer para que crear una cuenta conjunta con un socio gracias,0.075,0.9968821406364441
17,hallo können sie mir mit meiner karte helfen die funktioniert nicht ,hallo könnt ihr mir mit meiner karte helfen die funktioniert nicht,0.18181818181818182,0.9938191175460815
18,dzień dobry chciałabym zamrazić moją kartę chciałabym na niej zatrzymać wszelkie transakcje zablokować ją także proszę panią żeby ją pani zablokowała ,dzień dobry chciałabym zamrozić moją kartę chciałabym na nich zatrzymać wszelkie transakcje zablokować ją także proszę panią żeby ją pani zablokowała,0.09523809523809523,0.9971472024917603
19,а что мне надо сделать для того чтобы изменить свой адрес в личном кабинете почему-то у меня не получается это сделать ,а что мне надо сделать для того чтобы изменить свой адрес в личном кабинете почему ты меня не получается сделать,0.15,0.9964776039123535
