,Prediction,Label,Score,Cosine Similarity
0,can you playai my cot acount malon,can you please show me my current account balance,0.6666666666666666,0.5041244626045227
1,high god morning i m hoping he can help iv ease the out many many times and at the moment it s not working and it s just come up where the lead of arows dound a thame ofs going on close can he help sol me,hi honey i m hoping you can help i ve used it many many times and at the moment it s not working and it s just come up with loads of arrows down understand what s going on please can you help me,0.4318181818181818,0.7577489614486694
2,so i got seme money that i want a depoment into my acount how i do that,so i got some money that i want a deposit into my account how do i do that,0.2222222222222222,0.7869266867637634
3,how can i se a history of my most recent transactionsplease,hey can i see a history of my most recent transactions please,0.3333333333333333,0.804481029510498
4,on coing tom on to mation on to dein,i m calling for more information on the business loan,0.9,0.5188005566596985
5,helo m a window if you can help me am i one to wuld dike my dreas on my holiday,hello i wonder if you can help me i want to update my address on my policy,0.5882352941176471,0.6961290240287781
6,gown,set up a joint account,1.0,0.3888811767101288
7,hi i m having some trouble am purchasing a product on males a large purchase and it sang after i m respond to a text mesage or o spec resave tex mesage imd i m not two sure wharlese esmet mesages are going am sove you help me after that a be right thank you,hi i m having some trouble purchasing a product on lies a large purchase and it s saying after respond to a text message or i ve just received text message i m so i m not too sure where these sms messages are going so he can help me out that that be great thank you,0.47368421052631576,0.858770489692688
8,i have ben i ve brefived a cart from the bank but i i m trying to use my cartand it not alowing me to pay ther thing,i have been received the card from the bank but i am trying to use my card and it s not allowing me to pay for things,0.5185185185185185,0.7108036279678345
9,i ve just moved en it like to change my adram,i just moved and i d like to change my address,0.45454545454545453,0.5704101920127869
10,o,i want to freeze my card,1.0,0.433686226606369
11,i am caling to m find out about which direct habits as sat uprom a bank acount and sofo could jure set me no if she could list the diferent direct habits i have already got set up to dist one a checue which ones are there and how much the for,hi i m calling to find out about which direct debits on a bank account if you could just let me know if you could list the different direct debit so i ve already got set up just want to check which ones were there and how much therefore,0.5510204081632653,0.7230202555656433
12,i read helo i eaint to know how to transfer money into my acount,hello i need to know how to transfer money into my account,0.4166666666666667,0.6932750344276428
13,show me a tis of my mason transactions,show me a list of my recent transactions,0.25,0.6871908903121948
14,oh i it it won t to be po it money this morning place into my acount,hi i just want to because it mummy this morning please into my account,0.7142857142857143,0.70395827293396
15,i d like to block my card from using any transaction,id like to block my card from using any transaction,0.2,0.8903409838676453
16,an din t one any one tinaction on like hardly no en,i don t want any more transaction i like hard please,0.8181818181818182,0.5911131501197815
17,i,i want to change my address,0.8333333333333334,0.4671976566314697
18,n mi iy,hello my credit card bills due,1.0,0.5259260535240173
19,i i just want to inquire im about the limit of my at m toctrol limit on my atam im i just want to t a just double check say how much iw can nac hou with trol im ti up thank you,hi i just wanted to choir about the limit of my atm withdrawal them at my atm i just wanted to just double check say how much i can ask you withdraw so thank you,0.6285714285714286,0.7788906693458557
20,i dar i i ite to posit for my into my can it ting to get help in with that place,hi there id like to deposit some money into my account i was wondering if you could help you with that please,0.7727272727272727,0.6082920432090759
21,i i m trying to use my bankot and it capes geting declint it s not working that i know why,hi i m trying to use my bank card and keep getting declined it s not working but don t know why,0.45454545454545453,0.8417904376983643
22,i ci pa t pothit the mony into my acount,can i deposit some money into my account,1.0,0.4429929256439209
23,i could you tel me about direct tabit plea thank,could you tell me about direct debit please,0.625,0.7790268063545227
24,an can you please help me with my card it does not work and it refuses to pay it was declined,can you please help me with my card it does not work it repeated it was declined,0.29411764705882354,0.9391008019447327
25,a question of ot one of my recent transactions,question but one of my recent transactions,0.42857142857142855,0.8633183240890503
26,hey i m caling to se why my a davicard was declining i tried to pay four groceries and he kept declining a tretlic four times i know opaven t use a diferent tybircard but ah is there problem of my balance hat the apesant shine or is it like is doin et a new card is it what s the reason my payment declined yei d apreciate some hope thinks,see i m calling to see why my debit card was climbing i tried to pay for groceries and pick up the climbing at red like four times and up having to use a different debit card is there a problem with my balance at the app isn t showing or is it like is do i need a new card is it what s the reason my payment declined,0.5428571428571428,0.8515548706054688
27,ieramy cot omy,can you freeze my cards for me,1.0,0.49705490469932556
28,what if my cas withdraw a limit at the eigh p m,what is my cash withdrawal limit at the atm,0.7777777777777778,0.6588327288627625
29,i cane let me now how i can supl get money into my acount,hi can you let me know how i can deposit money into my account,0.5,0.6293482780456543
30,iam i on fay of my lightest trainsaction,i want to see my latest transaction,0.8571428571428571,0.5037411451339722
31,i am i m consi o like o much or latcen strain as you raning at me up to se ten an thank for not,i would like to my transactions train,3.142857142857143,0.5449548363685608
32,i want to make a marge on mine payment and i ve refeaved the conflimation cured by a efimat,i want to make a large online payment and i ve received a confirmation code via sms,0.5882352941176471,0.7812775373458862
33,how o i tramp fer money to a give rit acount,how do i transfer money to a different account,0.6666666666666666,0.510579526424408
34,i i lke to like your payment with my bank e camt,hi id like to make a payment with my bank account,0.6363636363636364,0.7835074067115784
35,so you spent some money i d ike to se n my new acount balance,so you spent the money i d like to see my new account balance,0.35714285714285715,0.7120656967163086
36,i am trying to set up a join acount ith my pawnar can you tewl me how i can fet at up ly,i am trying to set up a joint account with my partner can you tell me how he said that up please,0.45454545454545453,0.6328508257865906
37,ar ra aisa,hello i like to change my address please,1.0,0.5121955871582031
38,i am caing about a prexisting a busines mone that i have with deguie a thousand questions about it,sampling about a pre-existing a business loan that i have with you guys let s have some questions about it,0.6,0.685574471950531
39,i iam trying to make a large payment on line however it said but it has sent me a tec metsage with a caimac cote but i haven t received anything im ast hoping you d be able to help thankye,hi i m trying to make large payment online however it says that it has sent me a text message with payment code but i haven t received anything you d be able to help thank you,0.4594594594594595,0.8874855637550354
40,y a m li to self o join acount alf for me in my partner place,hi i d like to set up a joint account for me and my partner please,0.6875,0.5841968059539795
41,is te o a if i a the eti,hi it s going to about a business link,0.8888888888888888,0.6619877219200134
